127.0.0.1 - - [21/Aug/2018:11:16:01 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:16:01 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:16:08 +0530] "GET /JSTLDemos/forEach.jsp HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:16:13 +0530] "GET /JSTLDemos/choose.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:16:56 +0530] "GET /JSTLDemos/animal.jsp?animal=LION HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:46 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:46 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:47 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:47 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:47 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:47 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:47 +0530] "GET /JSTLDemos/ HTTP/1.1" 304 -
